category,product_type,japanese,english,publisher,year,product_code
comptiq,periodical,1992/12,,Kadokawa Shoten,1992,
creguian,box set,テーブルトークRPG”クレギオン”ベーシック・セット,Creguian Tabletalk RPG in Far-Future: A Introduce Set of Creguin World,Hobby Data,1992,
creguian,box set,テーブルトークRPG”クレギオン”サプリメント#1「辺境アレイダ」,Creguian Tabletalk RPG in Far-Future: A Supliment of Frontier Starship Adventure,Hobby Data,,
creguian,box set,テーブルトークRPG”クレギオン”サプリメント#2「クライシスポイント」,Creguian: Crisis Point,Hobby Data,,
cry-max,rulebook,CRY-MAX RPG 熱血専用!,CRY-MAX Only For Hot Blood!,Hobby Japan,1996,
crystania,supplement,クリスタニアコンパニオン,Crystania Companion,Kadokawa Shoten,1992,
crystania,box set,クリスタニアRPG ,Crystania RPG,Media Works,1994,
crystania,replay,RPGリプレイ封印伝説クリスタニア ,RPG Replay Sealed Legend Crystania,Media Works,1994,6-1
crystania,replay,RPGリプレイ漂流伝説クリスタニア,RPG Replay Adrift Legend Crystania,Media Works,1995,6-2
crystania,replay,RPGリプレイ暗黒伝説クリスタニア,RPG Replay Dark Legend Crystania,Media Works,1996,6-3
crystania,replay,RPGリプレイ蟻帝伝説クリスタニア,RPG Replay Ant Emperor Legend Crystania,Media Works,1997,6-4
crystania,replay,RPGリプレイ 黄金伝説クリスタニア,RPG Replay Golden Legend Crystania,Media Works,1998,1-11
crystania,replay,RPGリプレイ傭兵伝説クリスタニア (上),RPG Replay Mercenary Legend Crystania Vol. 1,Media Works,1998,1-12
